Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
69306-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,8.109999847412109,10,5700,JAC@NE,NE,JAC,IR,Illness,,,,RB/FLEX
69306-93539,RB,Michael,Michael Carter,Carter,10.641666412353516,12,5700,TB@NYJ,NYJ,TB,,,,,,RB/FLEX
69306-71246,WR,Marquez,Marquez Callaway,Callaway,7.73999989827474,15,5700,CAR@NO,NO,CAR,,,,,,WR/FLEX
69306-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,7.986666870117188,15,5700,JAC@NE,JAC,NE,,,,,,WR/FLEX
69306-26251,WR,Robby,Robby Anderson,Anderson,6.366666666666666,15,5700,CAR@NO,CAR,NO,,,,,,WR/FLEX
69306-28473,RB,Carlos,Carlos Hyde,Hyde,3.316666603088379,12,5700,JAC@NE,JAC,NE,IR,Concussion,,,,RB/FLEX
69306-85845,WR,Rashod,Rashod Bateman,Bateman,6.8,10,5700,LAR@BAL,BAL,LAR,,,,,,WR/FLEX
69306-40845,TE,Hunter,Hunter Henry,Henry,8.785714285714286,14,5700,JAC@NE,NE,JAC,,,,,,TE/FLEX
69306-24755,WR,Jamison,Jamison Crowder,Crowder,7.4636362249201,11,5600,TB@NYJ,NYJ,TB,Q,Calf,,,,WR/FLEX
69306-27338,RB,Rex,Rex Burkhead,Burkhead,6.066666920979817,12,5600,HOU@SF,HOU,SF,,,,,,RB/FLEX
69306-22031,WR,T.Y.,T.Y. Hilton,Hilton,5.837500095367432,8,5600,LV@IND,IND,LV,,,,,,WR/FLEX
69306-63078,RB,Ke'Shawn,Ke'Shawn Vaughn,Vaughn,4.5,4,5600,TB@NYJ,TB,NYJ,,,,,,RB/FLEX
69306-69295,WR,Byron,Byron Pringle,Pringle,6.621428353445871,14,5600,KC@CIN,KC,CIN,,,,,,WR/FLEX
