"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"53152-68694","RB","Antonio","Antonio Williams","Williams","20.799999237060547","1","4600","IND@BUF","BUF","IND","","","","",""
"53152-63078","RB","Ke'Shawn","Ke'Shawn Vaughn","Vaughn","3.4666665395100913","6","4600","TB@WAS","TB","WAS","","","","",""
"53152-68712","WR","Tyler","Tyler Johnson","Johnson","3.4900001525878905","10","4600","TB@WAS","TB","WAS","","","","",""
"53152-6779","RB","LeSean","LeSean McCoy","McCoy","2.5875000953674316","8","4600","TB@WAS","TB","WAS","Q","Undisclosed","","",""
"53152-94087","RB","DeeJay","DeeJay Dallas","Dallas","5.377777947319879","9","4600","LAR@SEA","SEA","LAR","Q","Ankle","","",""
"53152-41867","RB","Jordan","Jordan Wilkins","Wilkins","4.608333269755046","12","4600","IND@BUF","IND","BUF","IR","Undisclosed","","",""
"53152-69303","WR","Freddie","Freddie Swain","Swain","2.6461539635291467","13","4600","LAR@SEA","SEA","LAR","","","","",""
"53152-103352","RB","Christian","Christian Wade","Wade","0","0","4600","IND@BUF","BUF","IND","","","","",""
"53152-57299","TE","Gerald","Gerald Everett","Everett","4.826666768391927","15","4600","LAR@SEA","LAR","SEA","","","","",""
"53152-56064","RB","Bo","Bo Scarbrough","Scarbrough","1.5499999523162842","2","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-130309","WR","J.J.","J.J. Koski","Koski","0","2","4500","LAR@SEA","LAR","SEA","","","","",""
"53152-69383","WR","Dezmon","Dezmon Patmon","Patmon","0","1","4500","IND@BUF","IND","BUF","","","","",""
"53152-130311","WR","Earnest","Earnest Edwards","Edwards","0","2","4500","LAR@SEA","LAR","SEA","","","","",""
"53152-54280","WR","Duke","Duke Williams","Williams","7.150000095367432","4","4500","IND@BUF","BUF","IND","","","","",""
"53152-22037","RB","Lamar","Lamar Miller","Miller","0.5333333412806193","3","4500","TB@WAS","WAS","TB","","","","",""
"53152-69655","WR","Stephen","Stephen Sullivan","Sullivan","0","1","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-86295","RB","Mike","Mike Warren","Warren","0","2","4500","TB@WAS","WAS","TB","","","","",""
"53152-69150","WR","Jordan","Jordan Veasy","Veasy","0","1","4500","TB@WAS","WAS","TB","","","","",""
"53152-89384","WR","DeMichael","DeMichael Harris","Harris","2.9166666666666665","6","4500","IND@BUF","IND","BUF","","","","",""
"53152-72493","WR","Trishton","Trishton Jackson","Jackson","0","2","4500","LAR@SEA","LAR","SEA","","","","",""
"53152-64816","WR","Brandon","Brandon Polk","Polk","0","2","4500","LAR@SEA","LAR","SEA","","","","",""
"53152-65331","RB","Sutton","Sutton Smith","Smith","0","1","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-14645","WR","Dontrelle","Dontrelle Inman","Inman","5.328571319580078","7","4500","TB@WAS","WAS","TB","","","","",""
"53152-57909","RB","Marlon","Marlon Mack","Mack","3.549999952316284","2","4500","IND@BUF","IND","BUF","IR","Achilles","","",""
"53152-71732","WR","Seth","Seth Dawkins","Dawkins","0","1","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-94262","WR","Antonio","Antonio Gandy-Golden","Gandy-Golden","0.75","4","4500","TB@WAS","WAS","TB","","","","",""
"53152-62012","RB","Anthony","Anthony Jones","Jones","0","1","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-64061","WR","Johnathon","Johnathon Johnson","Johnson","0","1","4500","TB@WAS","WAS","TB","","","","",""
"53152-64065","WR","Emanuel","Emanuel Hall","Hall","0","1","4500","TB@WAS","WAS","TB","IR","Achilles","","",""
"53152-71756","WR","Aaron","Aaron Fuller","Fuller","0","1","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-104012","WR","Ashton","Ashton Dulin","Dulin","0.8777777883741591","9","4500","IND@BUF","IND","BUF","","","","",""
"53152-31061","RB","T.J.","T.J. Yeldon","Yeldon","5.233333269755046","3","4500","IND@BUF","BUF","IND","IR","Illness","","",""
"53152-63061","WR","Gary","Gary Jennings","Jennings","0","1","4500","IND@BUF","BUF","IND","","","","",""
"53152-14683","RB","Patrick","Patrick DiMarco","DiMarco","1.0428571701049805","7","4500","IND@BUF","BUF","IND","","","","",""
"53152-44893","RB","Roosevelt","Roosevelt Nix","Nix","0","1","4500","IND@BUF","IND","BUF","","","","",""
"53152-104284","RB","Bruce","Bruce Anderson III","Anderson III","0","1","4500","IND@BUF","IND","BUF","","","","",""
"53152-63582","RB","Aca'Cedric","Aca'Cedric Ware","Ware","0","0","4500","TB@WAS","TB","WAS","","","","",""
"53152-64105","RB","Patrick","Patrick Carr","Carr","0","1","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-55414","WR","Cody","Cody Thompson","Thompson","0","1","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-27771","WR","Cody","Cody Latimer","Latimer","0","1","4500","TB@WAS","WAS","TB","","","","",""
"53152-42107","WR","Robert","Robert Foster","Foster","1.566666603088379","3","4500","TB@WAS","WAS","TB","","","","",""
"53152-64892","RB","Bryce","Bryce Love","Love","0","1","4500","TB@WAS","WAS","TB","IR","Knee","","",""
"53152-71039","WR","Kelvin","Kelvin Harmon","Harmon","0","1","4500","TB@WAS","WAS","TB","IR","Knee - acl","","",""
"53152-93055","WR","Isaiah","Isaiah Hodgins","Hodgins","0","0","4500","IND@BUF","BUF","IND","IR","Shoulder","","",""
"53152-93824","WR","Easop","Easop Winston Jr.","Winston Jr.","0","2","4500","LAR@SEA","LAR","SEA","","","","",""
"53152-83083","WR","Justin","Justin Watson","Watson","2.5799999237060547","5","4500","TB@WAS","TB","WAS","","","","",""
"53152-83086","WR","Daurice","Daurice Fountain","Fountain","1.099999984105428","3","4500","IND@BUF","IND","BUF","","","","",""
"53152-47249","WR","Darvin","Darvin Kidsy","Kidsy","0","1","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-41370","WR","Trevor","Trevor Davis","Davis","0","2","4500","TB@WAS","WAS","TB","","","","",""
"53152-72091","RB","Raymond","Raymond Calais","Calais","0","5","4500","LAR@SEA","LAR","SEA","","","","",""
"53152-86172","WR","Nick","Nick Easley","Easley","0","0","4500","IND@BUF","BUF","IND","","","","",""
"53152-29866","RB","Paul","Paul Perkins","Perkins","1.433333396911621","3","4500","IND@BUF","IND","BUF","","","","",""
"53152-29357","RB","Kenjon","Kenjon Barner","Barner","0","5","4500","TB@WAS","TB","WAS","IR","Groin","","",""
"53152-39859","TE","Jack","Jack Doyle","Doyle","4.046153728778545","13","4500","IND@BUF","IND","BUF","","","","",""
"53152-56262","WR","Parris","Parris Campbell","Campbell","3.8999999364217124","3","4500","IND@BUF","IND","BUF","IR","Knee - mcl","","",""
"53152-31184","RB","Jonathan","Jonathan Williams","Williams","0.8666666348775228","3","4500","TB@WAS","WAS","TB","","","","",""
"53152-25813","WR","Phillip","Phillip Dorsett II","Dorsett II","0","1","4500","LAR@SEA","SEA","LAR","IR","Foot","","",""
"53152-63447","WR","Penny","Penny Hart","Hart","1.350000023841858","2","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-103896","WR","Nsimba","Nsimba Webster","Webster","-0.14285714285714285","14","4500","LAR@SEA","LAR","SEA","","","","",""
"53152-72669","WR","Isaiah","Isaiah Wright","Wright","2.98181811246005","11","4500","TB@WAS","WAS","TB","","","","",""
